Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADN,Advent Technologies Holdings Inc. Class A Common Stock,$1.44,0.10,7.463%,29431020.00,United States,2018,713996,Utilities,Power Generation
ADNWW,Advent Technologies Holdings Inc. Warrant,$0.26,0.01,4.00%,0.00,United States,2018,30229,Utilities,Power Generation
AEE,Ameren Corporation Common Stock,$93.31,-0.80,-0.85%,24095115275.00,United States,,1615071,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$101.95,-0.30,-0.293%,52355828743.00,United States,,1682412,Utilities,Electric Utilities: Central
AEPPZ,American Electric Power Company Inc. Corporate Units,$56.68,-0.16,-0.281%,0.00,United States,,64470,Utilities,Electric Utilities: Central
AERC,AeroClean Technologies Inc. Common Stock,$2.37,0.02,0.851%,32889997.00,United States,2021,80847,Utilities,Environmental Services
AES,The AES Corporation Common Stock,$22.27,0.13,0.587%,14873234294.00,United States,,2780541,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,$90.58,0.335,0.371%,0.00,United States,,9868,Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$47.37,-0.22,-0.462%,18319720984.00,United States,2015,546457,Utilities,Electric Utilities: Central
AKTS,Akoustis Technologies Inc. Common Stock,$4.15,-0.14,-3.263%,232245612.00,United States,,248401,Utilities,Telecommunications Equipment
ALE,Allete Inc.,$62.13,0.00,0.00%,3540714703.00,United States,,266224,Utilities,Power Generation
AM,Antero Midstream Corporation Common Stock,$11.06,0.04,0.363%,5291512910.00,United States,2017,2611548,Utilities,Natural Gas Distribution
AMPS,Altus Power Inc. Class A Common Stock,$7.18,-0.62,-7.949%,1103213110.00,,2021,591881,Utilities,Electric Utilities: Central
AQMS,Aqua Metals Inc. Common Stock,$0.9691,0.0257,2.724%,72656669.00,United States,2015,278045,Utilities,Environmental Services
AQN,Algonquin Power & Utilities Corp. Common Shares,$14.63,-0.01,-0.068%,9883221814.00,,2016,1558137,Utilities,Electric Utilities: Central
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,$25.30,-0.23,-0.901%,0.00,,2018,33477,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$25.35,0.20,0.795%,0.00,,2019,16266,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,$46.24,0.002,0.004%,0.00,,2021,22862,Utilities,Electric Utilities: Central
ARIS,Aris Water Solutions Inc. Class A Common Stock,$20.10,-0.16,-0.79%,442128303.00,,2021,261542,Utilities,Water Supply
ARTNA,Artesian Resources Corporation Class A Common Stock,$48.60,-0.54,-1.099%,458708913.00,United States,,17746,Utilities,Water Supply
ATO,Atmos Energy Corporation Common Stock,$116.11,-0.49,-0.42%,16141033043.00,United States,,652407,Utilities,Oil/Gas Transmission
AUDC,AudioCodes Ltd. Common Stock,$23.60,0.08,0.34%,752921019.00,Israel,1999,445502,Utilities,Telecommunications Equipment
AVA,Avista Corporation Common Stock,$43.04,-0.10,-0.232%,3117813726.00,United States,,299905,Utilities,Power Generation
AWK,American Water Works Company Inc. Common Stock,$155.15,0.09,0.058%,28199020771.00,United States,2008,768678,Utilities,Water Supply
AWR,American States Water Company Common Stock,$80.83,-0.69,-0.846%,2987133757.00,United States,,105171,Utilities,Water Supply
AWX,Avalon Holdings Corporation Common Stock,$2.97,-0.105,-3.415%,11581310.00,United States,1998,2875,Utilities,Environmental Services
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$33.50,-0.35,-1.034%,3822210808.00,United Kingdom,2014,369064,Utilities,Electric Utilities: Central
AZRE,Azure Power Global Limited Equity Shares,$15.19,-0.26,-1.683%,974613033.00,India,2016,58363,Utilities,Electric Utilities: Central
BEP,Brookfield Renewable Partners L.P. ,$35.80,-0.05,-0.139%,9850601662.00,,,154164,Utilities,Electric Utilities: Central
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,$62.62,0.21,0.336%,19120485982.00,Bermuda,,174646,Utilities,Power Generation
BKH,Black Hills Corporation Common Stock,$75.56,-0.36,-0.474%,4898798330.00,United States,,290306,Utilities,Electric Utilities: Central
CDZI,CADIZ Inc. Common Stock,$2.21,0.14,6.763%,112202308.00,United States,,111480,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$16.73,-0.05,-0.298%,0.00,United States,,282,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$65.17,1.42,2.227%,21290969724.00,United States,,1793454,Utilities,Power Generation
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),$3.85,-0.04,-1.028%,582898566.00,,2018,123137,Utilities,Electric Utilities: Central
CHRA,Charah Solutions Inc. Common Stock,$3.52,0.09,2.624%,118715112.00,United States,2018,22464,Utilities,Medical Specialities
CIEN,Ciena Corporation Common Stock,$48.74,-1.94,-3.828%,7353187053.00,United States,1997,2185336,Utilities,Telecommunications Equipment
CIG,Comp En De Mn Cemig ADS American Depositary Shares,$2.44,-0.02,-0.813%,6980683179.00,Brazil,,2552272,Utilities,Electric Utilities: Central
CLFD,Clearfield Inc. Common Stock,$66.53,-0.52,-0.776%,916226677.00,United States,,105019,Utilities,Telecommunications Equipment
CLNE,Clean Energy Fuels Corp. Common Stock,$5.65,-0.19,-3.253%,1258693615.00,United States,2007,1802637,Utilities,Natural Gas Distribution
CMS,CMS Energy Corporation Common Stock,$71.14,-0.14,-0.196%,20639784387.00,United States,,1954623,Utilities,Power Generation
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,$25.31,0.11,0.437%,0.00,United States,2018,12143,Utilities,Power Generation
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,$25.60,0.08,0.313%,0.00,United States,2018,21697,Utilities,Power Generation
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,$25.22,-0.04,-0.158%,0.00,United States,2019,19972,Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$31.67,-0.43,-1.34%,19934643084.00,United States,,3572319,Utilities,Electric Utilities: Central
