Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UTSI,UTStarcom Holdings Corp.,$0.6988,-0.0212,-2.944%,25253303.00,China,2000,6103,Telecommunications,Telecommunications Equipment
UZD,United States Cellular Corporation 6.250% Senior Notes due 2069,$22.11,-0.47,-2.081%,0.00,United States,2020,62786,Telecommunications,Telecommunications Equipment
UZE,United States Cellular Corporation 5.500% Senior Notes due 2070,$20.53,-0.27,-1.298%,0.00,United States,2020,34404,Telecommunications,Telecommunications Equipment
UZF,United States Cellular Corporation 5.500% Senior Notes due 2070,$20.55,-0.30,-1.439%,0.00,United States,2021,26834,Telecommunications,Telecommunications Equipment
VEON,VEON Ltd. ADS,$0.51,0.0166,3.364%,895932879.00,Netherlands,,880495,Telecommunications,Telecommunications Equipment
VG,Vonage Holdings Corp. Common Stock,$19.40,-0.10,-0.513%,4977698754.00,United States,2006,1732138,Telecommunications,Telecommunications Equipment
VISL,Vislink Technologies Inc. Common Stock,$0.7071,-0.02,-2.751%,32402920.00,United States,2013,128189,Telecommunications,Telecommunications Equipment
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$10.56,-0.15,-1.401%,17708468142.00,Brazil,2020,1549335,Telecommunications,Telecommunications Equipment
VOD,Vodafone Group Plc American Depositary Shares,$15.68,-0.1975,-1.244%,44105115349.00,United Kingdom,,5138259,Telecommunications,Telecommunications Equipment
VZ,Verizon Communications Inc. Common Stock,$50.81,-0.48,-0.936%,213383896448.00,United States,,10819821,Telecommunications,Telecommunications Equipment
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,$17.50,-0.50,-2.778%,42469777088.00,United States,,14604816,Telecommunications,Cable & Other Pay Television Services
WTT,Wireless Telecom Group  Inc. Common Stock,$1.445,0.005,0.347%,33194553.00,United States,1993,14318,Telecommunications,Telecommunications Equipment
