Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Inc. Common Stock,$19.30,-0.39,-1.981%,948020536.00,United States,1994,504462,Telecommunications,Telecommunications Equipment
AESE,Allied Esports Entertainment Inc. Common Stock,$1.55,0.01,0.649%,60631206.00,United States,2017,36444,Telecommunications,Cable & Other Pay Television Services
ALLT,Allot Ltd. Ordinary Shares,$5.39,-0.38,-6.586%,197206323.00,Israel,2006,238548,Telecommunications,Telecommunications Equipment
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$20.625,-0.325,-1.551%,66703958764.00,Mexico,,2792,Telecommunications,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$20.84,-0.27,-1.279%,67399297001.00,Mexico,,1695806,Telecommunications,Telecommunications Equipment
ASNS,Actelis Networks Inc. Common Stock,$1.44,0.02,1.408%,24977196.00,United States,2022,33599,Telecommunications,Telecommunications Equipment
ATNI,ATN International Inc. Common Stock,$44.13,-0.92,-2.042%,694813037.00,United States,,19425,Telecommunications,Telecommunications Equipment
ATTO,Atento S.A. Ordinary Shares,$13.03,1.96,17.706%,188931221.00,,2014,43361,Telecommunications,Telecommunications Equipment
ATUS,Altice USA Inc. Class A Common Stock,$10.71,-0.35,-3.165%,4869353101.00,United States,2017,1956891,Telecommunications,Telecommunications Equipment
AVNW,Aviat Networks Inc. Common Stock,$29.15,-0.80,-2.671%,325515660.00,United States,,61941,Telecommunications,Telecommunications Equipment
BDC,Belden Inc Common Stock,$57.26,-1.06,-1.818%,2534108581.00,United States,,184434,Telecommunications,Telecommunications Equipment
BOSC,B.O.S. Better Online Solutions Common Stock,$2.3999,-0.0501,-2.045%,10362768.00,Israel,,5540,Telecommunications,Computer Communications Equipment
BOXL,Boxlight Corporation Class A Common Stock,$0.8405,-0.0116,-1.361%,55237499.00,United States,2017,166856,Telecommunications,Telecommunications Equipment
CHT,Chunghwa Telecom Co. Ltd.,$42.97,-0.30,-0.693%,33333747782.00,Taiwan,,122851,Telecommunications,Telecommunications Equipment
CNSL,Consolidated Communications Holdings Inc. Common Stock,$7.54,-0.06,-0.789%,870083337.00,United States,2005,1019771,Telecommunications,Telecommunications Equipment
CSCO,Cisco Systems Inc. Common Stock (DE),$45.25,-0.54,-1.179%,187378622674.00,United States,1990,17946966,Telecommunications,Computer Communications Equipment
ESE,ESCO Technologies Inc. Common Stock,$67.51,-0.76,-1.113%,1745195339.00,United States,,53499,Telecommunications,Telecommunications Equipment
EXTR,Extreme Networks Inc. Common Stock,$10.04,-0.22,-2.144%,1313590438.00,United States,1999,760210,Telecommunications,Telecommunications Equipment
HMTV,Hemisphere Media Group Inc. Class A Common Stock,$6.92,0.01,0.145%,279572892.00,United States,,194817,Telecommunications,Cable & Other Pay Television Services
HPE,Hewlett Packard Enterprise Company Common Stock,$15.08,0.12,0.802%,19588920000.00,United States,2015,9442477,Telecommunications,Telecommunications Equipment
IDCC,InterDigital Inc. Common Stock,$66.03,0.09,0.136%,2038347487.00,United States,,155836,Telecommunications,Telecommunications Equipment
IDT,IDT Corporation Class B Common Stock,$27.94,-1.80,-6.052%,733173540.00,United States,,243915,Telecommunications,Telecommunications Equipment
INSG,Inseego Corp. Common Stock,$2.08,-0.04,-1.887%,223386338.00,United States,,620430,Telecommunications,Telecommunications Equipment
ITI,Iteris Inc. Common Stock,$2.97,-0.06,-1.98%,126015903.00,United States,,105476,Telecommunications,Telecommunications Equipment
KN,Knowles Corporation Common Stock,$19.51,-0.36,-1.812%,1790130880.00,,2014,546721,Telecommunications,Telecommunications Equipment
KT,KT Corporation Common Stock,$14.87,-0.19,-1.262%,7016768432.00,South Korea,,551373,Telecommunications,Telecommunications Equipment
LBTYA,Liberty Global plc Class A Ordinary Shares,$24.14,-0.11,-0.454%,12186290226.00,United Kingdom,,593600,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$23.89,0.00,0.00%,12060085894.00,United Kingdom,,3,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$25.24,-0.14,-0.552%,12741589283.00,United Kingdom,,1334956,Telecommunications,Cable & Other Pay Television Services
LILA,Liberty Latin America Ltd. Class A Common Stock,$9.07,-0.31,-3.305%,2053414405.00,United States,,213804,Telecommunications,Cable & Other Pay Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,$9.04,-0.31,-3.316%,2046622516.00,United States,,1115790,Telecommunications,Cable & Other Pay Television Services
LTRX,Lantronix Inc. Common Stock,$6.00,-0.02,-0.332%,208787826.00,United States,2000,111702,Telecommunications,Telecommunications Equipment
LUMN,Lumen Technologies Inc. Common Stock,$11.64,-0.18,-1.523%,12024764193.00,United States,,10634078,Telecommunications,Telecommunications Equipment
MAXR,Maxar Technologies Inc.,$30.13,-0.41,-1.343%,2220918546.00,,,389119,Telecommunications,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.07,-0.07,-6.14%,11586364.00,United States,2021,52571,Telecommunications,Telecommunications Equipment
ONDS,Ondas Holdings Inc. Common Stock,$7.35,-0.20,-2.649%,308950878.00,United States,,284069,Telecommunications,Telecommunications Equipment
ORAN,Orange,$11.90,-0.51,-4.11%,31639336594.00,France,,793621,Telecommunications,Telecommunications Equipment
PHI,PLDT Inc. Sponsored ADR,$36.07,-0.17,-0.469%,7791120000.00,Philippines,,67599,Telecommunications,Telecommunications Equipment
PTNR,Partner Communications Company Ltd. American Depositary Shares,$7.15,0.00,0.00%,1273718618.00,Israel,,217,Telecommunications,Telecommunications Equipment
PWFL,PowerFleet Inc. Common Stock,$2.31,-0.02,-0.858%,83497004.00,United States,,35665,Telecommunications,Telecommunications Equipment
ROKU,Roku Inc. Class A Common Stock,$87.28,-8.57,-8.941%,11867676658.00,United States,2017,6503838,Telecommunications,Cable & Other Pay Television Services
SHEN,Shenandoah Telecommunications Co Common Stock,$23.13,0.15,0.653%,1157803121.00,United States,,148231,Telecommunications,Telecommunications Equipment
SKM,SK Telecom Co. Ltd. Common Stock,$25.13,-0.31,-1.219%,9872334196.00,South Korea,,287836,Telecommunications,Telecommunications Equipment
SNT,Senstar Technologies Ltd. Ordinary Shares,$2.15,0.11,5.392%,50116472.00,Israel,,37884,Telecommunications,Telecommunications Equipment
SONM,Sonim Technologies Inc. Common Stock,$0.5879,0.0079,1.362%,11329620.00,United States,2019,95417,Telecommunications,Telecommunications Equipment
TDS,Telephone and Data Systems Inc. Common Shares,$16.89,-0.37,-2.144%,1935428478.00,United States,,973403,Telecommunications,Telecommunications Equipment
TEF,Telefonica SA Common Stock,$5.05,-0.06,-1.174%,29399590671.00,Spain,1988,5644030,Telecommunications,Telecommunications Equipment
TEO,Telecom Argentina SA,$5.44,0.12,2.256%,2343212555.00,Argentina,,285590,Telecommunications,Telecommunications Equipment
TESS,TESSCO Technologies Incorporated Common Stock,$5.98,-0.05,-0.829%,54066591.00,United States,1994,11096,Telecommunications,Telecommunications Equipment
TIGO,Millicom International Cellular S.A. Common Stock,$16.38,-0.07,-0.426%,1645682220.00,Luxembourg,,187235,Telecommunications,Telecommunications Equipment
TIMB,TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,$14.42,-0.43,-2.896%,6980451308.00,,2020,427404,Telecommunications,Telecommunications Equipment
TKC,Turkcell Iletisim Hizmetleri AS Common Stock,$2.92,-0.07,-2.341%,2549868033.00,Turkey,,582239,Telecommunications,Telecommunications Equipment
TLK,PT Telekomunikasi Indonesia Tbk,$29.57,-0.35,-1.17%,29292697449.00,Indonesia,,175333,Telecommunications,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$136.61,0.81,0.596%,171252224036.00,United States,,4376304,Telecommunications,Telecommunications Equipment
USM,United States Cellular Corporation Common Stock,$29.89,-0.01,-0.033%,2557325631.00,United States,1988,118214,Telecommunications,Telecommunications Equipment
