Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARI,Apollo Commercial Real Estate Finance Inc,$12.42,-0.18,-1.429%,1746138270.00,United States,2009,842538,Real Estate,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,$21.655,-0.235,-1.074%,349772491.00,United States,,3358,Real Estate,Building operators
ARR,ARMOUR Residential REIT Inc.,$7.62,0.01,0.131%,786155651.00,United States,,1947842,Real Estate,Real Estate Investment Trusts
AVB,AvalonBay Communities Inc. Common Stock,$205.02,-3.95,-1.89%,28665532284.00,United States,,683161,Real Estate,Real Estate Investment Trusts
AVCO,Avalon GloboCare Corp. Common Stock,$0.5876,-0.0065,-1.094%,52270194.00,United States,,31642,Real Estate,Building operators
AXR,AMREP Corporation Common Stock,$12.9417,0.0417,0.323%,67818507.00,United States,,1406,Real Estate,Homebuilding
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,$18.98,-0.18,-0.939%,0.00,,2020,13638,Real Estate,Building operators
BAMI,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,$18.66,-0.24,-1.27%,0.00,,2020,11332,Real Estate,Building operators
BDN,Brandywine Realty Trust Common Stock,$10.85,-0.20,-1.81%,1859515445.00,United States,,948010,Real Estate,Real Estate Investment Trusts
BFS,Saul Centers Inc. Common Stock,$48.00,-1.20,-2.439%,1147200000.00,United States,1993,38448,Real Estate,Real Estate Investment Trusts
BHR,Braemar Hotels & Resorts Inc. Common Stock,$6.03,-0.01,-0.166%,429757093.00,United States,2013,532904,Real Estate,Real Estate Investment Trusts
BNL,Broadstone Net Lease Inc. Common Stock,$21.33,-0.20,-0.929%,3611297663.00,United States,2020,491098,Real Estate,Real Estate Investment Trusts
BON,Bon Natural Life Limited Ordinary Shares,$5.08,0.04,0.794%,169679742.00,China,2021,80495,Real Estate,Real Estate Investment Trusts
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$26.70,-0.23,-0.854%,797970965.00,,2014,228025,Real Estate,Real Estate Investment Trusts
BRMK,Broadmark Realty Capital Inc. Common Stock,$7.41,-0.04,-0.537%,984058315.00,United States,2019,900855,Real Estate,Real Estate Investment Trusts
BRSP,BrightSpire Capital Inc. Class A Common Stock,$8.91,-0.10,-1.11%,1167957086.00,,2018,441352,Real Estate,Real Estate Investment Trusts
BRT,BRT Apartments Corp. (MD) Common Stock,$22.76,0.02,0.088%,423415432.00,United States,,38927,Real Estate,Real Estate Investment Trusts
BRX,Brixmor Property Group Inc. Common Stock,$23.87,-0.38,-1.567%,7149881760.00,,2013,1384661,Real Estate,Real Estate Investment Trusts
BXMT,Blackstone Mortgage Trust Inc. Common Stock,$30.86,-0.43,-1.374%,5255021393.00,United States,,680627,Real Estate,Real Estate Investment Trusts
BXP,Boston Properties Inc. Common Stock,$106.42,-2.65,-2.43%,16677311047.00,United States,1997,619114,Real Estate,Real Estate Investment Trusts
CBL,CBL & Associates Properties Inc. Common Stock,$29.59,0.20,0.681%,941381527.00,United States,2021,185930,Real Estate,Real Estate Investment Trusts
CCI,Crown Castle International Corp. (REIT) Common Stock,$183.04,-4.17,-2.227%,79262118524.00,United States,,1775721,Real Estate,Real Estate Investment Trusts
CDR,Cedar Realty Trust Inc. Common Stock,$26.70,-0.11,-0.41%,364197986.00,United States,,96389,Real Estate,Real Estate Investment Trusts
CHCI,Comstock Holding Companies Inc. Class A Common Stock,$4.86,-0.06,-1.22%,40492524.00,United States,2004,7322,Real Estate,Building operators
CHCT,Community Healthcare Trust Incorporated Common Stock,$36.02,-0.96,-2.596%,903106227.00,United States,2015,94609,Real Estate,Real Estate Investment Trusts
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock,$6.96,0.06,0.87%,131479383.00,,2013,220013,Real Estate,Real Estate Investment Trusts
CIM,Chimera Investment Corporation Common Stock,$9.87,-0.11,-1.102%,2339659210.00,United States,2007,1214340,Real Estate,Real Estate Investment Trusts
CIO,City Office REIT Inc. Common Stock,$13.51,-0.24,-1.745%,588419606.00,,2014,182868,Real Estate,Real Estate Investment Trusts
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,$12.86,-0.14,-1.077%,627634216.00,United States,2010,389806,Real Estate,Real Estate Investment Trusts
CLEU,China Liberal Education Holdings Limited Ordinary Shares,$0.9179,0.0039,0.427%,14547185.00,China,2020,446542,Real Estate,Other Consumer Services
CLPR,Clipper Realty Inc. Common Stock,$8.64,0.10,1.171%,138786290.00,United States,2017,134147,Real Estate,Real Estate Investment Trusts
CMCT,Creative Media & Community Trust Corporation Common stock,$7.50,0.06,0.806%,175269983.00,United States,,4293,Real Estate,Real Estate Investment Trusts
CMCTP,Creative Media & Community Trust Corporation Series L Preferred Stock,$26.45,0.00,0.00%,0.00,United States,,1,Real Estate,Real Estate Investment Trusts
CMTG,Claros Mortgage Trust Inc. Common Stock,$20.71,0.25,1.222%,2891802785.00,,2021,641862,Real Estate,Real Estate Investment Trusts
CORR,CorEnergy Infrastructure Trust Inc. Common Stock,$2.99,-0.09,-2.922%,46776723.00,United States,,42158,Real Estate,Real Estate Investment Trusts
CPT,Camden Property Trust Common Stock,$143.56,-1.10,-0.76%,15292133370.00,United States,1993,616328,Real Estate,Real Estate Investment Trusts
CSR,D/B/A Centerspace Common Stock,$85.22,-0.08,-0.094%,1309428480.00,United States,,61694,Real Estate,Real Estate Investment Trusts
CTO,CTO Realty Growth Inc. Common Stock,$65.47,-0.53,-0.803%,395069222.00,United States,1992,37549,Real Estate,Real Estate Investment Trusts
CTRE,CareTrust REIT Inc. Common Stock,$18.16,-0.40,-2.155%,1762041955.00,United States,,505800,Real Estate,Real Estate Investment Trusts
CTT,CatchMark Timber Trust Inc. Class A Common Stock,$11.62,-0.35,-2.924%,572257821.00,United States,2013,850201,Real Estate,Real Estate Investment Trusts
CUBE,CubeSmart Common Shares,$44.26,-0.41,-0.918%,9933618577.00,United States,,1854287,Real Estate,Real Estate Investment Trusts
CUZ,Cousins Properties Incorporated Common Stock,$33.66,-0.50,-1.464%,5007385974.00,United States,,598938,Real Estate,Real Estate Investment Trusts
CXW,CoreCivic Inc. Common Stock,$12.43,-0.25,-1.972%,1511404831.00,United States,,949678,Real Estate,Real Estate Investment Trusts
DAO,Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share,$4.68,-0.43,-8.415%,580230874.00,,2019,147012,Real Estate,Other Consumer Services
DBRG,DigitalBridge Group Inc.,$5.65,-0.07,-1.224%,3703435897.00,United States,2014,5180169,Real Estate,Real Estate Investment Trusts
DEA,Easterly Government Properties Inc. Common Stock,$19.13,-0.25,-1.29%,1736619430.00,United States,2015,517172,Real Estate,Real Estate Investment Trusts
DEI,Douglas Emmett Inc. Common Stock,$27.14,-0.60,-2.163%,4770781478.00,United States,2006,1025446,Real Estate,Real Estate Investment Trusts
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$2.06,-0.08,-3.738%,492315890.00,United States,,1853286,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$19.00,-0.26,-1.35%,0.00,United States,,7602,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$20.2601,-0.1899,-0.929%,0.00,United States,,15830,Real Estate,Real Estate Investment Trusts
DLR,Digital Realty Trust Inc. Common Stock,$134.49,-3.88,-2.804%,38285585965.00,United States,2004,1329488,Real Estate,Real Estate Investment Trusts
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,$18.04,-0.32,-1.743%,4064341446.00,United States,2013,1907457,Real Estate,Real Estate Investment Trusts
DRE,Duke Realty Corporation Common Stock,$53.27,-0.50,-0.93%,20479924615.00,United States,,1630618,Real Estate,Real Estate Investment Trusts
DRH,Diamondrock Hospitality Company Common Stock,$10.59,-0.19,-1.763%,2233019102.00,United States,2005,1765411,Real Estate,Real Estate Investment Trusts
DX,Dynex Capital Inc. Common Stock,$16.18,-0.09,-0.553%,597978531.00,United States,,945867,Real Estate,Real Estate Investment Trusts
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,$8.18,-0.02,-0.244%,107239195.00,United States,2013,35294,Real Estate,Real Estate Investment Trusts
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,$1.32,0.06,4.762%,19668000.00,China,2020,169584,Real Estate,Other Consumer Services
EEIQ,Elite Education Group International Ltd. Common Stock,$1.86,-0.07,-3.627%,20302482.00,United States,2021,1689,Real Estate,Other Consumer Services
EFC,Ellington Financial Inc. Common Stock ,$15.68,-0.14,-0.885%,941520700.00,United States,2010,544146,Real Estate,Real Estate Investment Trusts
EGP,EastGroup Properties Inc. Common Stock,$165.30,-1.39,-0.834%,7198686562.00,United States,,334938,Real Estate,Real Estate Investment Trusts
ELS,Equity Lifestyle Properties Inc. Common Stock,$74.11,-1.81,-2.384%,13785314118.00,United States,,747384,Real Estate,Real Estate Investment Trusts
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,$16.00,-0.27,-1.659%,641301408.00,United States,2004,45801,Real Estate,Real Estate Investment Trusts
EPR,EPR Properties Common Stock,$50.11,-1.28,-2.491%,3756727307.00,United States,1997,340570,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,$23.08,-0.31,-1.325%,3026981074.00,United States,2018,868545,Real Estate,Real Estate Investment Trusts
EQC,Equity Commonwealth Common Shares of Beneficial Interest,$27.07,-0.17,-0.624%,3045754007.00,United States,,457207,Real Estate,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$678.44,-16.20,-2.332%,61752831349.00,United States,2000,402719,Real Estate,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$76.07,-1.77,-2.274%,28605503453.00,United States,,1601420,Real Estate,Real Estate Investment Trusts
ESRT,Empire State Realty Trust Inc. Class A Common Stock,$7.71,-0.23,-2.897%,1291924261.00,United States,2013,1829036,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,$283.94,-3.89,-1.351%,18550658835.00,United States,1994,366655,Real Estate,Real Estate Investment Trusts
EXR,Extra Space Storage Inc Common Stock,$178.30,-1.53,-0.851%,23942099395.00,United States,2004,483500,Real Estate,Real Estate Investment Trusts
FBRT,Franklin BSP Realty Trust Inc. Common Stock,$15.73,-0.03,-0.19%,1316465706.00,,2021,1225232,Real Estate,Real Estate Investment Trusts
FCPT,Four Corners Property Trust Inc. Common Stock,$27.45,-0.30,-1.081%,2205984608.00,United States,2015,216840,Real Estate,Real Estate Investment Trusts
FEDU,Four Seasons Education (Cayman) Inc. American Depositary Shares each two ADSs representing one ordinary share,$0.3805,0.0005,0.132%,17602839.00,,2017,180761,Real Estate,Other Consumer Services
FHS,First High-School Education Group Co. Ltd. American Depositary Shares,$0.9798,0.0098,1.01%,28361519.00,,2021,38058,Real Estate,Other Consumer Services
FPH,Five Point Holdings LLC Class A Common Shares,$4.79,-0.06,-1.237%,330951274.00,United States,2017,92680,Real Estate,Real Estate
FPI,Farmland Partners Inc. Common Stock,$14.96,-0.19,-1.254%,749003891.00,,2014,587209,Real Estate,Real Estate Investment Trusts
FR,First Industrial Realty Trust Inc. Common Stock,$52.80,-1.02,-1.895%,6969674026.00,United States,1994,490263,Real Estate,Real Estate Investment Trusts
FRT,Federal Realty Investment Trust Common Stock,$111.92,-1.99,-1.747%,8888711694.00,United States,,329635,Real Estate,Real Estate Investment Trusts
FSP,Franklin Street Properties Corp. Common Stock,$4.35,-0.05,-1.136%,448710247.00,United States,,657399,Real Estate,Real Estate Investment Trusts
GBR,New Concept Energy Inc Common Stock,$2.26,0.07,3.196%,11598171.00,United States,1993,121983,Real Estate,Real Estate
GEO,Geo Group Inc (The) REIT,$6.90,-0.18,-2.542%,856263083.00,United States,,778488,Real Estate,Real Estate Investment Trusts
GGE,Green Giant Inc. Common Stock,$1.34,-0.09,-6.294%,54223005.00,China,,1869,Real Estate,Building operators
GIPR,Generation Income Properties Inc. Common Stock,$6.8527,-0.1273,-1.824%,15423756.00,United States,,6091,Real Estate,Real Estate Investment Trusts
GIPRW,Generation Income Properties Inc Warrant,$0.60,0.00,0.00%,0.00,United States,,100,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$47.11,-0.51,-1.071%,11661813999.00,United States,,918537,Real Estate,Real Estate Investment Trusts
GMRE,Global Medical REIT Inc. Common Stock,$12.79,-0.17,-1.312%,837979095.00,,2016,307201,Real Estate,Real Estate Investment Trusts
GNL,Global Net Lease Inc. Common Stock,$14.51,-0.11,-0.752%,1503628844.00,United States,2015,503926,Real Estate,Real Estate Investment Trusts
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$20.05,-0.34,-1.667%,774914315.00,United States,2003,144127,Real Estate,Real Estate Investment Trusts
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$24.35,-0.08,-0.327%,0.00,United States,,1676,Real Estate,Real Estate Investment Trusts
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$23.30,0.00,0.00%,0.00,United States,,102,Real Estate,Real Estate Investment Trusts
GOTU,Gaotu Techedu Inc. American Depositary Shares,$1.32,0.00,0.00%,339345252.00,,2019,3496584,Real Estate,Other Consumer Services
GPMT,Granite Point Mortgage Trust Inc. Common Stock,$10.98,-0.08,-0.723%,591334235.00,,2017,287311,Real Estate,Real Estate Investment Trusts
GTY,Getty Realty Corporation Common Stock,$27.33,-0.41,-1.478%,1277212152.00,United States,,95895,Real Estate,Real Estate Investment Trusts
GYRO,Gyrodyne LLC Common Stock,$12.505,0.00,0.00%,18540913.00,United States,,25,Real Estate,Real Estate Investment Trusts
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,$38.60,-0.60,-1.531%,3347683121.00,United States,2013,383703,Real Estate,Real Estate Investment Trusts
HCDI,Harbor Custom Development Inc. Common Stock,$1.81,-0.03,-1.63%,26394206.00,United States,2020,83981,Real Estate,Building operators
HCDIP,Harbor Custom Development Inc. 8.0% Series A Cumulative Convertible Preferred Stock no par value,$15.83,0.25,1.605%,0.00,United States,,4069,Real Estate,Building operators
HCDIW,Harbor Custom Development Inc. Warrant,$0.2491,0.049,24.488%,0.00,United States,,15418,Real Estate,Building operators
HCDIZ,Harbor Custom Development Inc. Warrant,$0.425,0.015,3.659%,0.00,United States,,525,Real Estate,Building operators
HHC,Howard Hughes Corporation (The) Common Stock,$81.32,-1.78,-2.142%,4175962693.00,United States,,139009,Real Estate,Real Estate Investment Trusts
HIW,Highwoods Properties Inc. Common Stock,$38.35,-0.72,-1.843%,4032655286.00,United States,1994,574485,Real Estate,Real Estate Investment Trusts
HLG,Hailiang Education Group Inc. American Depositary Shares,$14.29,-0.53,-3.576%,368369635.00,China,2015,2166,Real Estate,Other Consumer Services
HPP,Hudson Pacific Properties Inc. Common Stock,$19.63,-0.17,-0.859%,2838979818.00,United States,2010,1938650,Real Estate,Real Estate Investment Trusts
HR,Healthcare Realty Trust Incorporated Common Stock,$27.85,-0.44,-1.555%,4222211588.00,United States,1993,2686694,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$20.56,-0.13,-0.628%,14695817752.00,United States,,5783171,Real Estate,Real Estate Investment Trusts
HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest,$11.36,0.13,1.158%,447071584.00,United States,1999,234466,Real Estate,Real Estate Investment Trusts
HTA,Healthcare Trust of America Inc. Class A Common Stock,$30.13,-0.19,-0.627%,6901987387.00,United States,,2331403,Real Estate,Real Estate Investment Trusts
HTIA,Healthcare Trust Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$23.76,-0.0225,-0.095%,0.00,United States,,1715,Real Estate,Real Estate Investment Trusts
HTIBP,Healthcare Trust Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock,$23.50,0.705,3.093%,0.00,United States,,5729,Real Estate,Real Estate Investment Trusts
IH,iHuman Inc. American depositary shares each representing five Class A ordinary shares,$2.74,0.17,6.615%,146267617.00,United States,2020,76761,Real Estate,Other Consumer Services
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.3986,0.0486,2.068%,21778120.00,United States,1999,1839,Real Estate,Real Estate Investment Trusts
IIPR,Innovative Industrial Properties Inc. Common Stock,$133.58,-3.08,-2.254%,3736315152.00,United States,2016,132631,Real Estate,Real Estate Investment Trusts
ILPT,Industrial Logistics Properties Trust Common Shares of Beneficial Interest,$14.59,-0.37,-2.473%,954242303.00,United States,2018,731602,Real Estate,Real Estate Investment Trusts
INN,Summit Hotel Properties Inc. Common Stock,$8.93,-0.11,-1.217%,954631440.00,United States,2011,788734,Real Estate,Real Estate Investment Trusts
INVH,Invitation Homes Inc. Common Stock,$38.29,-0.51,-1.314%,23369185347.00,United States,2017,3038811,Real Estate,Real Estate Investment Trusts
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$53.57,-0.23,-0.428%,15565381591.00,United States,,1577051,Real Estate,Real Estate Investment Trusts
IRS,IRSA Inversiones Y Representaciones S.A. Common Stock,$4.20,-0.03,-0.709%,340568794.00,Argentina,,37014,Real Estate,Homebuilding
IRT,Independence Realty Trust Inc. Common Stock,$23.75,-0.29,-1.206%,5252577598.00,United States,2013,2201069,Real Estate,Real Estate Investment Trusts
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock,$1.75,-0.04,-2.235%,57735638.00,United States,2009,6790400,Real Estate,Real Estate Investment Trusts
IVT,InvenTrust Properties Corp. Common Stock,$32.52,0.69,2.168%,2191480622.00,,2021,747625,Real Estate,Real Estate Investment Trusts
JBGS,JBG SMITH Properties Common Shares ,$25.59,-0.51,-1.954%,3161596058.00,United States,2017,742926,Real Estate,Real Estate Investment Trusts
JOE,St. Joe Company (The) Common Stock,$49.53,-0.66,-1.315%,2917936323.00,United States,,138671,Real Estate,Homebuilding
KIM,Kimco Realty Corporation Common Stock,$22.95,-0.37,-1.587%,14183256381.00,United States,,5798096,Real Estate,Real Estate Investment Trusts
KRC,Kilroy Realty Corporation Common Stock,$59.28,-1.32,-2.178%,6918929222.00,United States,1997,442283,Real Estate,Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc. Common Stock,$19.13,-1.50,-7.271%,1299868655.00,United States,2017,6689538,Real Estate,Real Estate Investment Trusts
KRG,Kite Realty Group Trust Common Stock,$20.44,-0.33,-1.589%,4477187432.00,United States,2004,728884,Real Estate,Real Estate Investment Trusts
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,$2.18,-0.12,-5.217%,64455456.00,,2021,11575,Real Estate,Other Consumer Services
KW,Kennedy-Wilson Holdings Inc. Common Stock,$20.85,-0.28,-1.325%,2872937513.00,United States,,306999,Real Estate,Real Estate
LADR,Ladder Capital Corp Class A Common Stock,$11.44,-0.11,-0.952%,1455414418.00,,2014,429198,Real Estate,Real Estate Investment Trusts
LAMR,Lamar Advertising Company Class A Common Stock,$96.02,-1.81,-1.85%,9744311434.00,United States,1996,323176,Real Estate,Real Estate Investment Trusts
LAND,Gladstone Land Corporation Common Stock,$25.68,-1.11,-4.143%,878513134.00,United States,1993,227435,Real Estate,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,$25.30,0.11,0.437%,609790872.00,United States,,1153,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,$26.59,0.34,1.295%,0.00,United States,,21530,Real Estate,Real Estate Investment Trusts
LEN,Lennar Corporation Class A Common Stock,$80.19,0.04,0.05%,23695359379.00,United States,,1285231,Real Estate,Building operators
LFT,Lument Finance Trust Inc. Common Stock,$2.70,0.09,3.448%,141007910.00,United States,2013,73861,Real Estate,Real Estate Investment Trusts
LOAN,Manhattan Bridge Capital Inc,$5.65,0.01,0.177%,64946439.00,United States,,9038,Real Estate,Real Estate Investment Trusts
LSI,Life Storage Inc. Common Stock,$116.88,-1.43,-1.209%,9860570915.00,United States,,473087,Real Estate,Real Estate Investment Trusts
LTC,LTC Properties Inc. Common Stock,$38.13,-0.35,-0.91%,1504694792.00,United States,,125985,Real Estate,Real Estate Investment Trusts
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,$2.37,-0.04,-1.66%,31600158.00,China,2020,17032,Real Estate,Other Consumer Services
LXP,LXP Industrial Trust Common Stock (Maryland REIT),$11.25,-0.30,-2.597%,3224803286.00,United States,,2254144,Real Estate,Real Estate Investment Trusts
MAA,Mid-America Apartment Communities Inc. Common Stock,$179.13,-1.81,-1.00%,20676547063.00,United States,1994,407388,Real Estate,Real Estate Investment Trusts
MAC,Macerich Company (The) Common Stock,$11.36,-0.32,-2.74%,2438369926.00,United States,1994,1624720,Real Estate,Real Estate Investment Trusts
MAYS,J. W. Mays Inc. Common Stock,$40.55,1.80,4.645%,81739879.00,United States,,1714,Real Estate,Building operators
MDRR,Medalist Diversified REIT Inc. Common Stock,$0.9579,0.0025,0.262%,14558454.00,United States,2018,10287,Real Estate,Real Estate Investment Trusts
MDRRP,Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock,$19.80,0.00,0.00%,0.00,United States,,27,Real Estate,Real Estate Investment Trusts
MDV,Modiv Inc. Class C Common Stock,$18.72,-0.23,-1.214%,139978164.00,,2022,16448,Real Estate,Real Estate Investment Trusts
METX,Meten Holding Group Ltd. Ordinary Shares,$1.73,0.08,4.848%,19672598.00,China,,337705,Real Estate,Other Consumer Services
METXW,Meten Holding Group Ltd. Warrant,$0.0837,0.0186,28.571%,0.00,China,,5037,Real Estate,Other Consumer Services
MFA,MFA Financial Inc.,$13.82,-0.13,-0.932%,1415928998.00,United States,,849472,Real Estate,Real Estate Investment Trusts
MITT,AG Mortgage Investment Trust Inc. Common Stock,$8.23,0.04,0.488%,196894561.00,United States,2011,85087,Real Estate,Real Estate Investment Trusts
MPW,Medical Properties Trust Inc. common stock,$17.33,-0.69,-3.829%,10399733000.00,United States,2005,9654809,Real Estate,Real Estate Investment Trusts
NHI,National Health Investors Inc. Common Stock,$59.20,0.26,0.441%,2714381805.00,United States,,251598,Real Estate,Real Estate Investment Trusts
NLY,Annaly Capital Management Inc Common Stock,$6.62,-0.03,-0.451%,9671960562.00,United States,,24340852,Real Estate,Real Estate Investment Trusts
NNN,National Retail Properties Common Stock,$43.30,-0.71,-1.613%,7616933094.00,United States,,524108,Real Estate,Real Estate Investment Trusts
NREF,NexPoint Real Estate Finance Inc. Common Stock,$24.01,-0.37,-1.518%,350246211.00,,2020,99611,Real Estate,Real Estate Investment Trusts
NRZ,New Residential Investment Corp. Common Stock,$11.34,-0.08,-0.701%,5293359205.00,United States,,2533445,Real Estate,Real Estate Investment Trusts
