Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAIC,Arlington Asset Investment Corp Class A (new),$3.54,0.00,0.00%,105005292.00,United States,,50911,Real Estate,Real Estate Investment Trusts
AAT,American Assets Trust Inc. Common Stock,$32.94,-0.47,-1.407%,1993596096.00,United States,2011,139586,Real Estate,Real Estate Investment Trusts
ABR,Arbor Realty Trust Common Stock,$16.37,-0.12,-0.728%,2622512600.00,United States,2004,1685916,Real Estate,Real Estate Investment Trusts
ACC,American Campus Communities Inc Common Stock,$65.15,0.07,0.108%,9087319535.00,United States,2004,3123565,Real Estate,Real Estate Investment Trusts
ACR,ACRES Commercial Realty Corp. Common Stock,$9.91,0.10,1.019%,90186431.00,United States,,13521,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,$14.45,-0.21,-1.432%,786634345.00,United States,2012,529474,Real Estate,Real Estate Investment Trusts
ADC,Agree Realty Corporation Common Stock,$69.46,-1.00,-1.419%,5221721140.00,United States,,463040,Real Estate,Real Estate Investment Trusts
AEI,Alset EHome International Inc. Common Stock,$0.342,0.0045,1.333%,38710261.00,United States,2020,803578,Real Estate,Building operators
AFCG,AFC Gamma Inc. Common Stock,$17.80,-0.04,-0.224%,351424332.00,United States,2021,88101,Real Estate,Real Estate Investment Trusts
AFYA,Afya Limited Class A Common Shares,$12.04,0.00,0.00%,1128422885.00,Brazil,2019,131865,Real Estate,Other Consumer Services
AGNC,AGNC Investment Corp. Common Stock,$12.06,-0.13,-1.066%,6311718826.00,United States,2008,7760337,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$23.70,-0.07,-0.294%,0.00,United States,,9725,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$24.67,0.07,0.285%,0.00,United States,,29560,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$23.50,0.10,0.427%,0.00,United States,,14417,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$22.73,-0.05,-0.219%,0.00,United States,,20533,Real Estate,Real Estate Investment Trusts
AHH,Armada Hoffler Properties Inc. Common Stock,$13.91,-0.12,-0.855%,941808529.00,United States,2013,333184,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,$6.13,0.12,1.997%,211356638.00,United States,2003,826902,Real Estate,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$25.07,0.0386,0.154%,0.00,United States,2015,601,Real Estate,Real Estate Investment Trusts
AIRC,Apartment Income REIT Corp. Common Stock,$43.93,-0.76,-1.701%,6901273494.00,,2020,540006,Real Estate,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company Common Stock,$6.26,-0.07,-1.106%,955797445.00,United States,1994,1227575,Real Estate,Real Estate Investment Trusts
AJX,Great Ajax Corp. Common Stock,$10.40,-0.16,-1.515%,241112539.00,United States,2015,115489,Real Estate,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,$25.50,-0.10,-0.391%,0.00,United States,2017,1119,Real Estate,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,$19.35,-0.24,-1.225%,1836027614.00,United States,,593794,Real Estate,Real Estate Investment Trusts
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$20.21,-0.30,-1.463%,1468870156.00,United States,,299162,Real Estate,Real Estate Investment Trusts
ALX,Alexander's Inc. Common Stock,$239.00,-3.20,-1.321%,1220642310.00,United States,,9596,Real Estate,Real Estate Investment Trusts
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$37.43,-0.58,-1.526%,13036605605.00,,2013,1858462,Real Estate,Real Estate Investment Trusts
AOMR,Angel Oak Mortgage Inc. Common Stock,$14.72,0.11,0.753%,366929400.00,,2021,32398,Real Estate,Real Estate Investment Trusts
APLE,Apple Hospitality REIT Inc. Common Shares,$16.95,-0.21,-1.224%,3879661109.00,United States,2015,1620867,Real Estate,Real Estate Investment Trusts
APTS,Preferred Apartment Communities Inc. Common Stock,$24.96,0.00,0.00%,1608496356.00,United States,2011,1824654,Real Estate,Real Estate Investment Trusts
ARE,Alexandria Real Estate Equities Inc. Common Stock,$163.37,-3.28,-1.968%,26664908813.00,United States,,528876,Real Estate,Real Estate Investment Trusts
